abstain,abstain_count,coverage,decision_accuracy,false_allow_count,false_deny_count,method,n_rows,safe_false_deny,slice,unsafe_pre_allow
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_provenance_overlay,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,0.2,48,0,authz_aware_no_provenance_overlay,60,,unsafe_untrusted_control,0.8
0.09302325581395349,48,0.9069767441860465,0.9767441860465116,0,0,authz_aware_no_evidence_fallback,516,0.0,multi_resource,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,120,0.0,alias,0.0
0.35294117647058826,72,0.6470588235294118,0.8823529411764706,0,0,authz_aware_no_evidence_fallback,204,0.0,draft_commit,0.0
0.15384615384615385,24,0.8461538461538461,0.9230769230769231,0,0,authz_aware_no_evidence_fallback,156,0.0,public_visibility,0.0
0.4444444444444444,48,0.5555555555555556,1.0,0,0,authz_aware_no_evidence_fallback,108,,provenance_shift,0.0
1.0,24,0.0,0.0,0,0,authz_aware_no_evidence_fallback,24,0.0,evidence_fallback,
0.3333333333333333,24,0.6666666666666666,0.6666666666666666,0,0,authz_aware_no_evidence_fallback,72,0.0,safe_draft_or_read_only,
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,168,,unsafe_extra_recipient,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,24,,unsafe_public_link,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,72,,unsafe_alias_mismatch,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,60,,unsafe_commit_when_draft_only,0.0
0.0,0,1.0,1.0,0,0,authz_aware_no_evidence_fallback,60,,unsafe_untrusted_control,0.0
